File	Start	End	English	Salish	Tags	Audio	
comox01_side1	07:48		people, a group		People		
comox01_side1	07:58		old		State		
comox01_side1	08:03		name		Things		
comox01_side1	08:08		I or me		People		
comox01_side1	08:14		You, one person		People		
comox01_side1	08:18		We or us		People		
comox01_side1	08:26		You, more than one person		People		
comox01_side1	08:32		He or him or she or her		People		
comox01_side1	08:50		Who		Interrogative		
comox01_side1	08:52		Who is he		Interrogative		
comox01_side1	08:56		Who do you mean		Interrogative		
comox01_side1	09:03		cat		Animals		
comox01_side1	09:07		squirrel		Animals		
comox01_side1	09:11		cow		Animals		
comox01_side1	09:16		wolf		Animals		
comox01_side1	09:21		deer		Animals		
comox01_side1	09:24		dog		Animals		
comox01_side1	09:30		elk		Animals		
comox01_side1	09:34		mink		Animals		
comox01_side1	09:38		(okay, that’s doing anything) mouse		Animals		
comox01_side1	09:45		a fur pelt		Things		
comox01_side1	09:50		a growl		Sounds		
comox01_side1	09:56		growling		Sounds		
comox01_side1	10:00		a holler		Sounds		
comox01_side1	10:07		lard, fat		Things		
comox01_side1	10:15		a tail, on either an animal or bird		Animal Parts		
comox01_side1	10:23		quail		Animals		
comox01_side1	10:28		(a general term for) ducks		Animals		
comox01_side1	10:34		(for) crow	k̓ik̓æk̓	Animals		
comox01_side1	10:39		eagle		Animals		
comox01_side1	10:43		raven		Animals		
comox01_side1	10:56		seagull		Animals		
comox01_side1	11:00		fly		Animals		
comox01_side1	11:06		to breathe [??] (and choose mostly when someone is about to die or something)		Action Verbs		
comox01_side1	11:25		(and this is just) blow		Action Verbs		
comox01_side1	11:33		(the order) blow it		Actions		
comox01_side1	11:38		windy or blowing (or something like that)		State		
comox01_side1	11:46		spit		Action Verbs		
comox01_side1	11:51		(the order) spit		Actions		
comox01_side1	11:56		cat		Animals		
comox01_side1	12:03		hanging or hang		State		
comox01_side1	12:08		snow		Things		
comox01_side1	12:14		feather		Things		
comox01_side1	12:20		chum or dog salmon		Animals		
comox01_side1	12:26		a humpback salmon		Animals		
comox01_side1	12:31		a spring salmon or king or Chinook		Animals		
comox01_side1	12:39		sockeye salmon		Animals		
comox01_side1	12:44		coho salmon		Animals		
comox01_side1	12:52		a little … [??]		Animals		
comox01_side1	12:58		a little coho salmon		Animals		
comox01_side1	13:03		(and then) a blueback		Animals		
comox01_side1	13:08		a trout		Animals		
comox01_side1	13:12		a steelhead		Animals		
comox01_side1	13:17		fish head [??]		Animal Parts		
comox01_side1	13:22		to clean or cut open an animal or fish		Action Verbs		
comox01_side1	13:35		to open (anything)		Action Verbs		
comox01_side1	13:42		(this is just a) crab, (just) a little crab		Animals		
comox01_side1	13:50		fly, the insect		Animals		
comox01_side1	13:56		bugs (in general)		Animals		
comox01_side1	14:01		(this is, the first is) a louse		Animals		
comox01_side1	14:06		fleas		Animals		
comox01_side1	14:12		mosquito		Animals		
comox01_side1	14:17		a worm		Animals		
comox01_side1	14:22		maggots		Animals		
comox01_side1	14:27		(a term for) snake (in general)		Animals		
comox01_side1	14:33		cedar log		Elemental Things		
comox01_side1	14:38		cedar tree		Elemental Things		
comox01_side1	14:43		a Douglas fir		Elemental Things		
comox01_side1	14:49		bark of a tree		Elemental Things		
comox01_side1	14:53		(a general term for) root		Elemental Things		
comox01_side1	15:00		any kind of a berry		Edibles		
comox01_side1	15:06		blackberry		Edibles		
comox01_side1	15:11		black cap berry		Edibles		
comox01_side1	15:17		salal berry		Edibles		
comox01_side1	15:22		Saskatoon berry		Edibles		
comox01_side1	15:31		huckleberry		Edibles		
comox01_side1	15:35		soapberry		Edibles		
comox01_side1	15:41		strawberry		Edibles		
comox01_side1	15:45		gooseberry		Edibles		
comox01_side1	15:51		(a general term for) flower or blossom		Elemental Things		
comox01_side1	15:59		cat-tail		Elemental Things		
comox01_side1	16:06		(a word for) egg (in general)		Edibles		
comox01_side1	16:12		a lot		Measure		
comox01_side1	16:18		a little		Measure		
comox01_side1	16:23		saltwater, sea or ocean		Elemental Things		
comox01_side1	16:31		sky		Elemental Things		
comox01_side1	16:37		to turn yourself around, to turn around		Actions		
comox01_side1	16:44		to turn your face around		Edibles		
comox01_side1	16:51		to turn yourself around		Edibles		
comox01_side1	16:57		rolling over		Action Verbs		
comox01_side1	17:02		turning over		Action Verbs		
comox01_side1	17:08		grass		Elemental Things		
comox01_side1	17:12		seeds and berries or planting a seed [??]		Edibles		
comox01_side1	17:21		a wild crabapple		Edibles		
comox01_side1	17:27		yes				
comox01_side1	17:33		no				
comox01_side1	17:37		(this is) the other one		Clarification		
comox01_side1	17:42		not that one		Clarification		
comox01_side1	17:51		what (when you didn’t hear something)		Clarification		
comox01_side1	17:56		what (again)		Clarification		
comox01_side1	18:01		what’s that		Clarification		
comox01_side1	18:06		when		Clarification		
comox01_side1	18:11		when are you going		Clarification		
comox01_side1	18:17		how		Clarification		
comox01_side1	18:22		I’m going		Actions		
comox01_side1	18:28		to write with a pencil		Actions		
comox01_side1	18:33		writing		Action Verbs		
comox01_side1	18:39		that’s right, or that’s true		Clarification		
comox01_side1	18:51		insides or guts		Animal Parts		
comox01_side1	18:55		wing		Animal Parts		
comox01_side1	19:00		the comox language was called (the people could speak it)				
comox01_side1	19:10		language (in general)				
comox01_side1	19:17		the name of one of the tribes that spoke comox but also the name that all the comox tribes were called				
comox01_side1	19:35		the Cape Mudge pronunciation for comox				
comox01_side1	19:46		these are the two other tribes that spoke (uh)…				
comox01_side1	19:57		the Pentlach				
comox01_side1	20:03		a greeting for someone you haven’t seen in a long time				
comox01_side1	20:10		hello				
comox01_side1	20:16		good bye				
comox01_side1	20:22		my teeth				
comox01_side1	20:28		your teeth				
comox01_side1	20:36		your teeth				
comox01_side1	20:41		(his over there), his teeth				
comox01_side1	20:48		our teeth				
comox01_side1	20:54		they all pull his teeth out				
comox01_side1	21:02		he pulled all their teeth out				
comox01_side1	21:17		my older brother				
comox01_side1	21:23		younger brother				
comox01_side1	21:29		my brothers and sisters				
comox01_side1	21:35		older brothers				
comox01_side1	21:42		my younger brothers				
comox01_side1	21:48		my brothers and sisters				
comox01_side1	21:55		my older brothers				
comox01_side1	22:02		my younger brother				
comox01_side1	22:07		dogs				
comox01_side1	22:13		pup				
comox01_side1	22:17		pups				
comox01_side1	22:22		lots of pelts [??]				
comox01_side1	22:30		I’m eating	ʔeʔɛɬtən č			
comox01_side1	22:35		(these are two ways to say) you’re always eating				
comox01_side1	22:53		you’re always mad				
comox01_side1	23:02		(can you just say) mad (for me)				
comox01_side1	23:10		he’s eating				
comox01_side1	23:16		we’re eating				
comox01_side1	23:25		You are always eating (the whole group again)				
comox01_side1	23:36		What are they doing				
comox01_side1	23:45		They’re eating				
comox01_side1	23:54		I’m eating berries	məmkʷt čɛn tə teʔɛnom̓			
comox01_side1	24:08		(Then) he is eating berries				
comox01_side1	24:18		They are eating berries	məmkʷtasewʔat tə teʔɛnom̓			
comox01_side1	24:31		(the order) shout at				
comox01_side1	24:37		(let’s just get not the order but just) shout at				
comox01_side1	24:47		(The next one is) crying				
comox01_side1	24:53		(the order) shout at him				
comox01_side1	25:01		cranky				
comox01_side1	25:09		(the order) eat it				
comox01_side1	25:16		(so this is just) any kind of mixture				
comox01_side1	25:21		mixture of berries				
comox01_side1	25:29		(So the first one is) it’s mine				
comox01_side1	25:34		(and then) it’s my dog				
comox01_side1	25:39		(So this is) what were you doing yesterday?				
comox01_side1	25:50		(Then just) yesterday				
comox01_side1	25:55		tomorrow				
comox01_side1	26:01		I was working				
comox01_side1	26:08		(Then just) work				
comox01_side1	26:14		He was working				
comox01_side1	26:20		(can I get this other way of saying) he’s working [??]				
comox01_side1	26:32		I’m working				
comox01_side1	26:38		Are you working?				
comox01_side1	26:47		Were you working?				
comox01_side1	26:58		Were you working?				
comox01_side1	27:07		What are you gonna do tomorrow?				
comox01_side1	27:18		I’ll work or I’m gonna work				
comox01_side1	27:27		(This is another way of saying) I’m going to work				
comox01_side1	27:40		Are you going to work?				
comox01_side1	27:47		Is he going to work?				
comox01_side1	27:54		He’s going to work				
comox01_side1	28:01		We’re going to work				
comox01_side1	28:09		(This is another way of saying) we’re going to work				
comox01_side1	28:17		(So this is) are you (whole bunch of you) going to work? [??]				
comox01_side1	28:27		They’re all going to work				
comox01_side1	28:35		They’re all work [??]				
comox01_side1	28:44		I’m working				
comox01_side1	28:49		today				
comox01_side1	28:55		(the order) do it				
comox01_side1	29:02		(and then just the word) do (by itself)				
comox01_side1	29:10		Are you (plural) working?				
comox01_side1	29:24		Did you work (this morning or yesterday)?				
comox01_side1	29:33		Are you working right now? (just one person)				
comox01_side1	29:39		(for a whole group of people) are you working?				
comox01_side1	29:51		Are you (a group of people) working?				
comox01_side1	30:03		Were you (a group of people) working? (yesterday or this morning)				
comox01_side1	30:14		Where have you been working?				
comox01_side1	30:22		Where has he been working?				
comox01_side1	30:30		Where has that bunch been working?				
comox01_side1	30:40		Where are you going to work?				
comox01_side1	30:48		They’re working				
comox01_side1	30:55		They were working				
comox01_side1	31:02		(So this is) fence				
comox01_side1	31:06		(Then we got two ways here to say) I’m fixing the fence				
comox01_side1	31:17		(Then the other way) I’m fixing the fence				
comox01_side1	31:26		(and then just) fix				
comox01_side1	31:31		(the order) fix it				
comox01_side1	31:37		Are you fixing the fence?				
comox01_side1	31:47		He’s fixing the fence				
comox01_side1	31:55		(and then) where is he?				
comox01_side1	32:00		(So this is) what are you doing? (nothing)				
comox01_side1	32:11		What are you guys doing there?				
comox01_side1	32:22		We’re working on the fence (are you, plural, fixing the fence?)				
comox01_side1	32:35		(So this is) what are they doing?				
comox01_side1	32:41		They’re fixing the fence				
comox01_side1	32:50		(So this is) this coming evening				
comox01_side1	32:55		evening				
comox01_side1	33:01		This coming afternoon				
comox01_side1	33:10		He’ll fix the fence soon				
comox01_side1	33:21		(The first one is) early morning				
comox01_side1	33:27		morning				
comox01_side1	33:34		(Then) he fixed the fence (this morning he’s finished)				
comox01_side1	33:49		(So this is) some part going, sorta like now or the coming moment [??]				
comox01_side1	34:00		He was fixing the fence				
comox01_side1	34:13		After a while				
comox01_side1	34:19		(So this first one is) I’m chopping wood				
comox01_side1	34:29		(and then) just chop [??]				
comox01_side1	34:35		(and that was) I chopped wood every day				
comox01_side1	34:49		(So this is) do you like your work or enjoy your work				
comox01_side1	34:58		(The first one is) the dog eats the fish				
comox01_side1	35:11		(and let’s get the other one too) the dog is eating the fish				
comox01_side1	35:22		The dog finished it				
comox01_side1	35:32		The dog ate it				
comox01_side1	35:39		(This is a man’s name and it may be from farther south) Xwixwayloq [??]				
comox01_side1	35:47		(This is a man’s name that's a comox name) Gaygayjanuq [??]				
comox01_side1	35:54		Gaygayjanuq is gonna go spears some fish				
comox01_side1	36:07		Gaygayjanuq will spear some fish				
comox01_side1	36:19		He’s spearing fish				
comox01_side1	36:26		He will spear fish				
comox01_side1	36:38		(This means) he’s being a dog				
comox01_side1	36:46		Xwixwayloq hit (or is hitting) Gyaygadjanuk				
comox01_side1	37:08		(So this is a man’s name probably) Xweqatun				
comox01_side1	37:15		(This is a man’s name) Numnumam [??]				
comox01_side1	37:21		T’isetluh (this is a woman’s name)[??]				
comox01_side1	37:26		(another woman’s name) Sitlakas [??]				
comox01_side1	37:35		Ohjaymyoo [??]				
comox01_side1	37:38		Nohklomyoo [??]				
comox01_side1	37:43		(This is a man’s name) Chitlametum [??]				
comox01_side1	37:49		(This first one is a man’s name) Qwayamin [??]				
comox01_side1	37:55		(Then this is a woman’s name) Etxwamat [??]				
comox01_side1	38:00		(So this is) he punches him				
comox01_side1	38:08		(another way of saying that) he punches him				
comox01_side1	38:14		He punched him a long time ago				
comox01_side1	38:30		(So the first one is) he hits me				
comox01_side1	38:36		hit		Action Verbs		
comox01_side1	38:40		He hit me yesterday				
comox01_side1	38:47		I’ll hit you				
comox01_side1	38:54		I’ll hit him				
comox01_side1	38:59		He’s the one I’ll hit				
comox01_side1	39:07		He’s the one he’ll hit				
comox01_side1	39:15		He hit us				
comox01_side1	39:23		He hits me (or is hitting me)				
comox01_side1	39:30		I’ll hit you (all of you there) [??]				
comox01_side1	39:42		(This is) I’ll call you				
comox01_side1	39:47		I’ll call all you guys [??]		Action Verbs		
comox01_side1	39:51		call				
comox01_side1	39:58		(the order) call him				
comox01_side1	40:08		I’ll call him				
comox01_side1	40:15		I’ll call you				
comox01_side1	40:22		I’ll call them				
comox01_side1	40:30		(This first) Gil [??]				
comox01_side1	40:36		Xwixwayloq gives Gaygayjanuq a dog				
comox01_side1	40:55		I’m giving you that dog				
comox01_side1	41:02		Xwixwayloq is giving me that dog				
comox01_side1	41:15		Xwixwayloq has given that dog away [??]				
comox01_side1	41:46		Xwixwayloq’s giving that dog away				
comox01_side1	42:00		Someone’s giving that dog to Xwixwayloq				
comox01_side1	42:14		Do you want a dog?				
comox01_side1	42:24		It’s alright				
comox01_side1	42:29		It’ll be alright				
comox01_side1	42:34		Xwixwayloq will give you that dog				
comox01_side1	42:48		Xwixwayloq is giving him that dog				
comox01_side1	42:59		Xwixwayloq will give him that dog				
comox01_side1	43:10		He’ll give you that dog				
comox01_side1	43:17		He’ll give him that dog				
comox01_side1	43:32		Xwixwayloq will give me that dog				
comox01_side1	43:44		He’ll give him a dog or he’s gonna give him a dog				
comox01_side1	43:53		He’ll give them a dog				
comox01_side1	44:02		He’s going to give us a dog				
comox01_side1	44:11		He’s going to give them a dog				
comox01_side1	44:20		Help me				
comox01_side1	44:24		(This is just) help				
comox01_side1	44:28		(This is) hold it for me				
comox01_side1	44:38		(This first one is) I’m fixing the fence for  Xwixwayloq				
comox01_side1	44:53		I’m going to fix the fence for Xwixwayloq				
comox01_side1	45:07		I’m going to fix the fence for you				
comox01_side1	45:18		Xwixwayloq and Gaygayjanuq went to fix the fence				
comox01_side1	45:34		Is this mine?				
comox01_side1	45:41		Is this yours?				
comox01_side1	45:48		Whose is this?				
comox01_side1	45:55		(This is two ways to say) it’s yours				
comox01_side1	46:06		Was this yours?				
comox01_side1	46:11		The dog is mine				
comox01_side1	46:18		The dog was mine				
comox01_side1	46:25		The dog will be mine				
comox01_side1	46:31		The dog belongs to me				
comox01_side1	46:39		That man’s dog is big				
comox02_side1	00:10	00:14	that dog was big 			Play	
comox02_side1	00:18	00:21	he was big			Play	
comox02_side1	00:24.5	00:28	(okay so this is) you were small				
comox02_side1	00:32	00:35.5	(okay so this is) you were big			Play	
comox02_side1	00:37		(okay)				
comox02_side1	00:47.5	00:51.7	(this is eh) you are gonna grow			Play	
comox02_side1	00:54	00:56.5	(so this is) just grow			Play	
comox02_side1	00:59.5	01:03.5	(so this is) the house is white			Play	
comox02_side1	01:06	01:10.5	(okay this is) the house was white			Play	
comox02_side1	01:14.5	01:20	(okay so) this house is gonna be white			Play	
comox02_side1	01:23.5	01:28.5	(so this is) that big dog is mine			Play	
comox02_side1	01:31.5	01:35.5	(so this is ) that’s a big rock			Play	
comox02_side1	01:38.5	01:43	(okay so) that’s a heavy rock			Play	
comox02_side1	01:46.5	01:51	(okay so this is) he’s our chief				
comox02_side1	01:56.5	02:01	he was our chief			Play	
comox02_side1	02:05	02:09.5	(okay so this is) that man is a slave			Play	
comox02_side1	02:13	02:17	(so) that man is a slave			Play	
comox02_side1	02:23	02:27.5	(how??) that man was a slave			Play	
comox02_side1	02:30.5	02:33.5	(does) he is a slave			Play	
comox02_side1	02:35.5	02:39	(alright then) he was a slave			Play	
comox02_side1	02:42	02:46.5	he’s the one (oh) who was a slave			Play	
comox02_side1	02:50	02:55.5	(okay this is) I was his friend			Play	
comox02_side1	03:00.5		(this is) he was my friend				
comox02_side1	03:06		(oh I got that twisted)				
comox02_side1	03:13.5	03:19	(so this is) he was my friend			Play	
comox02_side1	03:23	03:27	(this is) there’s nothing in the box			Play	
comox02_side1	03:29.5	03:32	(alright and then) empty			Play	
comox02_side1	03:33		(one more time)				
comox02_side1	03:38	03:41.5	(okay so this is) I’m gonna sell it			Play	
comox02_side1	03:44.4	03:47.5	(alright then is another way to say [??]say) I’m gonna sell it			Play	
comox02_side1	03:51	03:55.5	(okay so this is) I saw some wood			Play	
comox02_side1	03:59	04:03.5	(so this is) what happened to the wood			Play	
comox02_side1	04:06.8	04:12	(okay this is) I sold the wood			Play	
comox02_side1	04:15	04:17.5	(okay so this is) finished			Play	
comox02_side1	04:19.5	04:22.5	(alright and then) I finished			Play	
comox02_side1	04:27.5	04:30	(okay so this is) a pack dogs			Play	
comox02_side1	04:34	04:40.5	(okay so this is) those two dogs finished it			Play	
comox02_side1	04:44	04:48	(okay so this is) some two dogs			Play	
comox02_side1	04:51.8	04:54.5	(okay so this is) skeleton, bones			Play	
comox02_side1	04:58.5	05:02	his work is good			Play	
comox02_side1	05:05	05:07.2	(this is) hurt			Play	
comox02_side1	05:10.8	05:15.5	(this is) I hurt my foot			Play	
comox02_side1	05:19	05:24	(so this is) I hurt yesterday			Play	
comox02_side1	05:27.5	05:31	(okay so this is) I hurt myself			Play	
comox02_side1	05:36	05:39.7	(this is, the first one is) you'll hurt yourself			Play	
comox02_side1	05:42.5	05:46.5	(alright and then) you’ll hurt him			Play	
comox02_side1	05:50.5	05:54	(okay this is) he’ll hurt himself			Play	
comox02_side1	05:59	06:03	(so this is) he’ll hurt him (and the him is another, not himself			Play	
comox02_side1	06:06	06:10	(this is) we hurt ourselves			Play	
comox02_side1	06:13.5	06:17	(okay so this is) you’ll hurt yourself			Play	
comox02_side1	06:21.5	06:25	(okay so this is) they hurt themselves			Play	
comox02_side1	06:30.5	06:34	(okay so this is) I’m gonna wash my face			Play	
comox02_side1	06:40	06:43	(okay the first one is) wash your face			Play	
comox02_side1	06:46	06:49	(and then the other one)			Play	
comox02_side1	06:55.5	06:58.5	(and the first is) wash (uh) the face			Play	
comox02_side1	07:01	07:03.5	(and then) wash your body			Play	
comox02_side1	07:07.5	07:12	(this is) he (uh) bathes himself			Play	
comox02_side1	07:14	07:18.5	(alright and then another way to say the same thing)			Play	
comox02_side1	07:24	07:27	(okay so this is) I’m bathing			Play	
comox02_side1	07:28.4	07:31	I'm bathing (alternate)			Play	
comox02_side1	07:34.5	07:37.5	(this is) to wash clothes			Play	
comox02_side1	07:40.5	07:43	(okay then) to wash containers and dishes			Play	
comox02_side1	07:47.5	07:51.5	(okay so this is ) I’m gonna wash my clothes			Play	
comox02_side1	07:56.3		(this is) I’m gonna wash my clothes				
comox02_side1	08:05	08:11	(alright and then can get the other way to say) I’m gonna wash my clothes			Play	
comox02_side1	08:19	08:22	(okay the first one is) the fish is eating him			Play	
comox02_side1	08:25.3	08:28.5	the fish is eating him (alternate)			Play	
comox02_side1	08:33.5	08:38.5	(ok so this is) he’s the one who’s eating the fish			Play	
comox02_side1	08:43.5	08:49.5	(alright and then) he’s the one who’s being eaten by the fish			Play	
comox02_side1	08:55.3	08:59	(okay so this is) they left last night			Play	
comox02_side1	09:01.3	09:05.5	(and then another way saying the same thing)			Play	
comox02_side1	09:09.4	09:14	(okay so this is) he arrived this morning			Play	
comox02_side1	09:18.3	09:24	(okay so this is) he came home this morning			Play	
comox02_side1	09:29.5	09:35.6	(so this is) he’s living on the hill, has his house on a hill			Play	
comox02_side1	09:44		(yeah then just they are) [??]				
comox02_side1	09:53.5	09:57.5	(okay) they are living up			Play	
comox02_side1	09:59		(okay and then just)				
comox02_side1	10:01		up				
comox02_side1	10:03		down				
comox02_side1	10:06.4	10:07	up			Play	
comox02_side1	10:08.5	10:09.5	down			Play	
comox02_side1	10:15	10:18.5	the river flows swiftly			Play	
comox02_side1	10:22.2	10:26.2	(okay so this is) he walks fast			Play	
comox02_side1	10:30.8	10:31.7	(alright and then just) fast			Play	
comox02_side1	10:35.5	10:39	(alright then have um) the horse walked fast			Play	
comox02_side1	10:43.5	10:50	(this is) you and I are going to Courtney			Play	
comox02_side1	10:54.5	11:02	(okay so this is) Xwixaylaq gave us the dog			Play	
comox02_side1	11:03		(umm okay)				
comox02_side1	11:12		(alright one more time)				
comox02_side1	11:12.3	11:14.3	(okay that’s) I’m not gonna call him			Play	
comox02_side1	11:18.5	11:22.5	(now) I’m not gonna call you			Play	
comox02_side1	11:27	11:32	(okay so this is) I’m not gonna call you (plural)			Play	
comox02_side1	11:35.7	11:40	(so this is) he’s not gonna call me			Play	
comox02_side1	11:43	11:48	(umm) he’s not going call us			Play	
comox02_side1	11:52.2	11:56.2	(so this is) I’m not gonna call them			Play	
comox02_side1	12:05.5	12:07.5	(okay good then) aren’t you going to invite him			Play	
comox02_side1	12:12.5		(then) aren’t you going to invite them?				
comox02_side1	12:20.7	12:25.5	(then) aren’t you going to invite them?			Play	
comox02_side1	12:31	12:35.5	aren’t you (plural) going to invite them?			Play	
comox02_side1	12:36		(the order) call him				
comox02_side1	12:42		(the order) call me				
comox02_side1	12:50		(the order) call us				
comox02_side1	13:00		(alright) the order call him				
comox02_side1	13:09		(okay and then) finally he didn’t call us				
comox02_side1	13:18		(okay) he didn’t call me				
comox02_side1	13:25		(so this is) I didn’t call him				
comox02_side1	13:31		(so this is) I didn’t call you				
comox02_side1	13:38		(so this is) I’m calling him				
comox02_side1	13:47		Xwixwaylaq’s giving him the dog				
comox02_side1	13:57		I want it (so this is) I want it				
comox02_side1	14:03		(okay and then) I want a dog				
comox02_side1	14:16		(okay) I want a canoe to go (er) to go trolling with and to go fishing with				
comox02_side1	14:28		(okay so this is the first one is) he wants it (one way to say it)				
comox02_side1	14:32		(alright then another way to say it)				
comox02_side1	14:38		(first one is) we want it				
comox02_side1	14:45		(alright then) pretty				
comox02_side1	14:51		(this is) your teeth				
comox02_side1	14:58		(alright good and then) your teeth (again another way to say it)				
comox02_side1	15:03		（okay and then) his horse				
comox02_side1	15:12		(okay then) your horse is all you guys over here				
comox02_side1	15:20		(ok then) all those guys’ horses there				
comox02_side1	15:24		(now hey so) the horses				
comox02_side1	15:32		(okay so this is) I’m gonna fix the fence for Xwixwaylaq				
comox02_side1	15:43		(alright then) I’m gonna fix the fence for him				
comox02_side1	15:52		(ya ok so this is) we are hitting each other				
comox02_side1	16:04		(okay so this is) are you (er) you guys fighting each other [??]				
comox02_side1	16:12		(so) this is a good basket				
comox02_side1	16:18		(okay another way to say) this is a better one here				
comox02_side1	16:25		(okay and then) this (er) this is the prettiest one				
comox02_side1	16:34		(okay and then) this (er) this is the prettiest one				
comox02_side1	16:48		(okay now okay so) this is the prettiest one				
comox02_side1	16:54		(alright that’s) she’s pretty (right)				
comox02_side1	16:56		(alright now I say) she’s the prettiest one				
comox02_side1	17:02		(okay good)				
comox02_side1	17:04		(and then) not good				
comox02_side1	17:12		(okay so this is the word for) long				
comox02_side1	17:22		(this is) he was fat				
comox02_side1	17:30		(this is) go and wash his face				
comox02_side1	17:36		(and alright and then the word for) cups				
comox02_side1	17:44		(alright and then just) one cup				
comox02_side1	17:54		(alright and then) dish (oh so this is) dish				
comox02_side1	17:57		(alright and then) dishes				
comox02_side1	18:04		(alright and this is) arriving				
comox02_side1	18:09		(alright and then) tied				
comox02_side1	18:16		(alright and then) fast				
comox02_side1	18:23		(okay alright so this is) the horse runs fast				
comox02_side1	18:30		(so the first one is) he’s faster				
comox02_side1	18:41		(alright and then) he’s really fast				
comox02_side1	18:49		(this is) an elder				
comox02_side1	18:55		(alright okay so this is) an ant				
comox02_side1	19:00		(yeah one of the things crawl on the ground)				
comox02_side1	19:02		(okay now how about) to be then [??]				
comox02_side1	19:08		(alright so this is) a gun				
comox02_side1	19:14		(hey so this is) a bailer [??]				
comox02_side1	19:22		(okay so this is) a baby bed				
comox02_side1	19:33		(okay so this is) a pack basket				
comox02_side1	19:35		(as called it) berry basket (before)				
comox02_side1	19:38		(just)				
comox02_side1	19:43		(alright then more than more than one of them)				
comox02_side1	19:49		(alright then) small				
comox02_side1	20:01		(ya but not the one er the) more than one small one the one you didn’t like				
comox02_side1	20:08		(okay so first just) bear	meχaɬ			
comox02_side1	20:18		(alright and then eh then) bears				
comox02_side1	20:23		(alright then) a bear cub				
comox02_side1	20:30		(yeh that’s okay)				
comox02_side1	20:34		(and then) bear cubs	meməχmeχaɬoɬ			
comox02_side1	20:43		(so this is) a grizzly bear				
comox02_side1	20:49		(alright and then) more than one grizzly bear				
comox02_side1	20:56		(alright and then) a grizzly bear cub				
comox02_side1	21:01		(alright and then) a beaver				
comox02_side1	21:06		(alright and then) a small beaver				
comox02_side1	21:09		beavers				
comox02_side1	21:11		(alright okay so this is) houses				
comox02_side1	21:20		(just the whole group house)				
comox02_side1	21:25		(alright then) the village				
comox02_side1	21:32		(alright this is) big houses				
comox02_side1	21:39		(this is) underwear				
comox02_side1	21:45		(okay so this) blue jay				
comox02_side1	21:49		(alright and then) the young ones				
